Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,754819,761138,11874.8,17616.6
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,456432,502199,156.1,3325.9
DOMESTIC CARRIERS,3,INDIGO,369721,406881,384.3,5090.3
DOMESTIC CARRIERS,4,JET AIRWAYS,1008639,1043725,17708.8,26682.2
DOMESTIC CARRIERS,5,SPICEJET,230050,242777,232.9,1967.2
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),2819661,2956720,30356.9,54682.1
FOREIGN CARRIERS,1,AEROFLOT,36487,36732,86.1,1848.0
FOREIGN CARRIERS,2,AEROLOGIC,0,0,11.1,11.1
FOREIGN CARRIERS,3,AIR ARABIA,210577,225229,298.5,3510.7
FOREIGN CARRIERS,4,AIR ASIA BERHAD,109540,108080,231.9,949.4
FOREIGN CARRIERS,5,AIR ASIA X,15169,15115,576.0,726.0
FOREIGN CARRIERS,6,AIR ASTANA,11514,14644,2.9,133.5
FOREIGN CARRIERS,7,AIR AUSTRAL,1332,1346,0.9,10.7
FOREIGN CARRIERS,8,AIR CANADA,24433,25227,236.5,515.8
FOREIGN CARRIERS,9,AIR CHINA,7307,6668,293.6,260.6
FOREIGN CARRIERS,10,AIR FRANCE,50272,52335,1754.4,2792.9
FOREIGN CARRIERS,11,AIR MANAS,4353,5389,5.4,44.0
FOREIGN CARRIERS,12,AIR MAURITIUS,22073,22277,56.3,1031.0
FOREIGN CARRIERS,13,AIR SEYCHELLES,7092,8003,3.3,97.4
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,22246,23332,1644.7,1038.3
FOREIGN CARRIERS,15,ARIANA AFGHAN,5091,4264,45.9,162.3
FOREIGN CARRIERS,16,ASIANA AIRLINES,13369,11961,436.1,253.3
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,10123,9941,1.3,156.2
FOREIGN CARRIERS,19,BATIK AIR,10024,10614,0.0,0.1
FOREIGN CARRIERS,20,BHUTAN AIRLINES,2614,3056,0.0,0.0
FOREIGN CARRIERS,21,BIMAN BANGLADESH,9391,11078,0.3,6.5
FOREIGN CARRIERS,22,BRITISH AIRWAYS,166928,159675,10247.6,9949.1
FOREIGN CARRIERS,23,BRUSSELS AIRLINES,11983,13381,480.7,751.1
FOREIGN CARRIERS,24,BUDDHA AIR,77,72,0.0,0.0
FOREIGN CARRIERS,25,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,265.8,448.2
FOREIGN CARRIERS,26,CATHAY PACIFIC,86632,93234,24246.0,12847.6
FOREIGN CARRIERS,27,CHINA AIRLINES LTD,5744,5967,593.9,692.5
FOREIGN CARRIERS,28,CHINA EASTERN AIRLINES,23306,22794,730.2,602.8
FOREIGN CARRIERS,29,CHINA SOUTHERN,20176,18665,125.0,58.5
FOREIGN CARRIERS,30,DRAGON AIR,26586,28647,12.4,22.6
FOREIGN CARRIERS,31,DRUK AIR,11627,10892,0.7,24.5
FOREIGN CARRIERS,32,EGYPT AIR,4377,5138,15.1,84.3
FOREIGN CARRIERS,33,EL-AL-ISRAEL,6148,6086,167.9,268.8
FOREIGN CARRIERS,34,EMIRATES AIRLINE,668520,725600,16926.9,37219.7
FOREIGN CARRIERS,35,ETHIOPIAN AIRLINES,28412,32790,1126.1,2589.3
FOREIGN CARRIERS,36,ETIHAD AIRLINES,317645,361105,3569.1,8229.5
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,3646.2,7933.5
FOREIGN CARRIERS,38,FINN AIR,9342,9214,324.1,589.0
FOREIGN CARRIERS,39,FLY DUBAI,59410,64917,22.2,740.5
FOREIGN CARRIERS,40,GARUDA INDONESIA,3111,3363,1.3,77.6
FOREIGN CARRIERS,41,GULF AIR,96473,102296,157.2,2155.0
FOREIGN CARRIERS,42,INDONESIA AIRASIA X,12780,13944,3.7,142.0
