Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,866692,759194,14537.7,17354.6
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,471369,473708,186.1,2869.7
DOMESTIC CARRIERS,3,INDIGO,396332,402771,564.8,4715.9
DOMESTIC CARRIERS,4,JET AIRWAYS,1114019,1026222,19411.5,28283.2
DOMESTIC CARRIERS,5,SPICEJET,248710,251134,373.9,1881.9
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),3097122,2913029,35074.1,55105.4
FOREIGN CARRIERS,1,AEROFLOT,42274,36743,117.0,1819.6
FOREIGN CARRIERS,2,AEROLOGIC,0,0,10.5,253.2
FOREIGN CARRIERS,3,AIR ARABIA,226943,225347,513.1,3457.9
FOREIGN CARRIERS,4,AIR ASIA BERHAD,124846,109426,228.9,934.8
FOREIGN CARRIERS,5,AIR ASIA X,17130,16629,601.7,897.2
FOREIGN CARRIERS,6,AIR ASTANA,15214,13472,7.0,156.9
FOREIGN CARRIERS,7,AIR AUSTRAL,1485,1138,2.0,15.7
FOREIGN CARRIERS,8,AIR CANADA,48518,44586,565.9,1197.8
FOREIGN CARRIERS,9,AIR CHINA,15440,13620,464.3,533.6
FOREIGN CARRIERS,10,AIR FRANCE,68985,64814,2591.1,3559.1
FOREIGN CARRIERS,11,AIR MANAS,4651,4870,4.8,39.0
FOREIGN CARRIERS,12,AIR MAURITIUS,27419,23515,218.3,1129.3
FOREIGN CARRIERS,13,AIR SEYCHELLES,7963,7524,1.6,148.2
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,24334,24236,1639.0,1053.8
FOREIGN CARRIERS,15,ARIANA AFGHAN,6616,5624,133.9,289.3
FOREIGN CARRIERS,16,ASIANA AIRLINES,18009,15463,330.2,243.4
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,12191,12255,46.7,96.1
FOREIGN CARRIERS,19,BATIK AIR,21244,20904,0.0,0.0
FOREIGN CARRIERS,20,BHUTAN AIRLINES,5678,4036,0.0,0.0
FOREIGN CARRIERS,21,BIMAN BANGLADESH,17684,20893,31.9,56.2
FOREIGN CARRIERS,22,BRITISH AIRWAYS,129926,109606,4158.3,9146.6
FOREIGN CARRIERS,23,BRUSSELS AIRLINES,15153,10895,710.8,1084.6
FOREIGN CARRIERS,24,BUDDHA AIR,215,173,0.0,0.0
FOREIGN CARRIERS,25,CARGOLUX AIRLINES INTERNATIONAL S.A.,0,0,281.6,451.6
FOREIGN CARRIERS,26,CATHAY PACIFIC,105135,95593,23540.1,14333.1
FOREIGN CARRIERS,27,CHINA AIRLINES LTD,9043,7444,610.9,879.7
FOREIGN CARRIERS,28,CHINA EASTERN AIRLINES,28445,26408,952.7,742.1
FOREIGN CARRIERS,29,CHINA SOUTHERN,29327,28264,679.9,43.6
FOREIGN CARRIERS,30,DRAGON AIR,30615,26389,12.2,60.6
FOREIGN CARRIERS,31,DRUK AIR,14158,13116,0.9,23.3
FOREIGN CARRIERS,32,EGYPT AIR,5630,5988,71.0,218.4
FOREIGN CARRIERS,33,EL-AL-ISRAEL,8309,7559,310.7,407.3
FOREIGN CARRIERS,34,EMIRATES AIRLINE,724704,689159,15576.7,35574.6
FOREIGN CARRIERS,35,ETHIOPIAN AIRLINES,57289,53387,2136.7,3451.9
FOREIGN CARRIERS,36,ETIHAD AIRLINES,333516,296825,2801.1,6579.5
FOREIGN CARRIERS,37,FEDERAL EXPRESS,0,0,3279.4,7999.7
FOREIGN CARRIERS,38,FINN AIR,17039,13588,525.9,724.1
FOREIGN CARRIERS,39,FLY DUBAI,62852,62303,35.4,722.5
FOREIGN CARRIERS,40,GARUDA INDONESIA,4465,4282,7.4,92.0
FOREIGN CARRIERS,41,GULF AIR,104576,96124,297.0,2044.9
FOREIGN CARRIERS,42,INDONESIA AIRASIA X,27141,29382,155.6,362.8
FOREIGN CARRIERS,43,IRAN AIR,3028,2688,4.9,29.1
FOREIGN CARRIERS,44,IRAQI AIRWAYS,6862,6703,0.0,0.0
FOREIGN CARRIERS,45,ISLAND AVIATION SERVICES,13211,11892,27.9,234.2
FOREIGN CARRIERS,46,JAPAN AIRLINES,13685,13787,1396.9,507.4
FOREIGN CARRIERS,47,KALITTA AIR,0,0,3667.1,3553.7
FOREIGN CARRIERS,48,KAM AIR,15317,13536,0.0,699.1
