Sl. No.,NAME OF THE COUNTRY,ISO3,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
1,AFGHANISTAN,AFG,45563,43380,342.5,1244.2
2,AUSTRALIA,AUS,16701,19729,116.1,294.2
3,AUSTRIA,AUT,6916,7745,166.5,144.5
4,AZERBAIJAN,AZE,8414,8600,0,0
5,BAHRAIN,BHR,127547,140955,228.3,2373.6
6,BANGLADESH,BGD,110269,114158,676.8,650.4
7,BELGIUM,BEL,465,237,8.8,2.2
8,BHUTAN,BTN,9651,9753,1.4,17
9,BURMA,MMR,12507,12482,1,30.8
10,CANADA,CAN,42723,44024,318.4,729.2
11,CHINA,CHN,90038,95033,3882.3,2211.9
12,EGYPT,EGY,4520,4966,8.5,93.3
13,ETHIOPIA,ETH,9856,12790,45.9,66.2
14,FINLAND,FIN,14155,16850,485.7,816.6
15,FRANCE,FRA,109178,116012,6082.5,4881.2
16,GEORGIA,GEO,0,0,0,0
17,GERMANY,DEU,160601,184316,12459.9,15330
18,HONG KONG,HKG,152138,176981,24307.3,13098.3
19,INDONESIA,IDN,4104,4386,3.8,73.2
20,IRAN,IRN,12678,11100,28.6,268.4
21,IRAQ,IRQ,1967,1999,0,0
22,ISRAEL,ISR,3653,4391,108.9,244.5
23,ITALY,ITA,16582,18730,442.2,438
24,JAPAN,JPN,43173,51277,3174.4,2475.7
25,JORDAN,JOR,0,0,0,0
26,KAZAKHSTAN,KAZ,13180,15323,5.5,177
27,KENYA,KEN,20084,23940,39,13.5
28,KOREA,KOR,36227,39645,1193.6,939.4
29,KUWAIT,KWT,117414,132409,1185.6,4912.8
30,KYRGYZSTAN,KGZ,3206,3900,3.2,56.1
31,MALAYSIA,MYS,301938,315677,4316,5320
32,MALDIVES,MDV,31969,37927,7.9,474.7
33,MAURITIUS,MUS,23928,24864,72.2,654.4
34,NEPAL,NPL,119363,124339,147.2,362.5
35,NETHERLANDS,NLD,66161,76634,3537.5,3485.3
36,OMAN,OMN,373984,401851,558,5410.3
37,PAKISTAN,PAK,2122,3030,4.3,60.7
38,QATAR,QAT,348660,382367,16166.1,28409.6
39,REUNION,REU,1695,2104,0.5,18.1
40,RUSSIA,RUS,55102,62477,75.3,1279
41,SAUDI ARABIA,SAU,388916,424112,2875.5,14869.6
42,SEYCHELLES,SYC,7740,7842,1.3,18.6
43,SINGAPORE,SGP,436300,495624,13649.9,16280.8
44,SOUTH AFRICA,ZAF,0,0,0,0
45,SPAIN,ESP,5939,6211,27.3,290.4
46,SRI LANKA,LKA,232234,234260,2456.7,4599.4
47,SWITZERLAND,CHE,30884,39354,2403.2,2771.3
48,TAIWAN,TWN,8430,9342,796.1,297.7
49,TAJIKISTAN,TJK,1110,1172,2.4,42.7
50,THAILAND,THA,402740,408134,10857.9,7897.5
51,TURKEY,TUR,55231,64228,2591.2,3213.4
52,TURKMENISTAN,TKM,11531,11182,0,47.6
53,UNITED ARAB EMIRATES,ARE,2232638,2480816,22876.4,67074.1
54,UNITED KINGDOM,GBR,311543,337464,13194.9,19492.1
55,UNITED STATES,USA,120375,142848,1666.3,2412.2
56,UZBEKISTAN,UZB,12585,14158,949.6,1360.3
57,VIETNAM,VNM,0,0,0,0
58,YEMEN,YEM,1676,1543,0,14.4
TOTAL,TOTAL,TOTAL,6778304,7424671,154620.9**,238546.2**
