Category,SL.No.,CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
Indian Territory,1,ABUDHABI,AHMEDABAD,25180,18631,9.8,202.4
Indian Territory,2,ABUDHABI,BENGALURU,30594,30434,41.1,303.3
Indian Territory,3,ABUDHABI,CHENNAI,32624,29428,17.6,161.8
Indian Territory,4,ABUDHABI,DELHI,95745,80315,959.0,2461.6
Indian Territory,5,ABUDHABI,GOA,3134,1367,0.3,0.0
Indian Territory,6,ABUDHABI,HYDERABAD,43344,37654,55.1,251.7
Indian Territory,7,ABUDHABI,JAIPUR,4507,3116,12.4,25.3
Indian Territory,8,ABUDHABI,KOCHI,59943,58651,49.5,529.0
Indian Territory,9,ABUDHABI,KOLKATA,11182,9920,4.1,83.2
Indian Territory,10,ABUDHABI,KOZHIKODE,45593,47202,13.8,272.5
Indian Territory,11,ABUDHABI,LUCKNOW,13208,10881,0.9,184.5
Indian Territory,12,ABUDHABI,MANGALORE,18843,18828,5.0,47.8
Indian Territory,13,ABUDHABI,MUMBAI,95546,85707,1745.5,3012.9
Indian Territory,14,ABUDHABI,PUNE,12840,10757,0.0,0.0
Indian Territory,15,ABUDHABI,TRIVANDRUM,28523,24539,6.5,189.7
Indian Territory,16,ADDIS ABABA,DELHI,19607,20906,477.9,570.6
Indian Territory,17,ADDIS ABABA,MUMBAI,37682,32481,501.4,2881.3
Indian Territory,18,ADEN,MUMBAI,1990,2205,0.0,9.3
Indian Territory,19,AL AIN,KOZHIKODE,3856,4933,0.0,0.0
Indian Territory,20,AL AIN,TRIVANDRUM,0,0,0.0,0.0
Indian Territory,21,ALMATY,DELHI,11334,10402,6.7,142.9
Indian Territory,22,ALMATY,GOA,2087,1700,0.0,0.0
Indian Territory,23,AMSTERDAM,BENGALURU,16008,10195,578.7,760.7
Indian Territory,24,AMSTERDAM,DELHI,48206,45895,2310.1,2855.9
Indian Territory,25,AMSTERDAM,MUMBAI,37602,31199,2185.8,2017.4
Indian Territory,26,ANTALYA,DELHI,0,0,0.0,0.0
Indian Territory,27,ANTALYA,MUMBAI,0,0,0.0,0.0
Indian Territory,28,ASHGABAT,AMRITSAR,11287,7780,0.0,24.7
Indian Territory,29,ASHGABAT,CHENNAI,0,0,0.0,0.0
Indian Territory,30,ASHGABAT,DELHI,5906,5281,0.0,96.1
Indian Territory,31,ASTANA,DELHI,3880,3070,0.3,14.0
Indian Territory,32,BAHRAIN,BENGALURU,0,0,1.6,0.0
Indian Territory,33,BAHRAIN,CHENNAI,16201,14862,26.6,283.6
Indian Territory,34,BAHRAIN,DELHI,33458,30907,201.9,507.4
Indian Territory,35,BAHRAIN,HYDERABAD,12835,11488,25.2,77.7
Indian Territory,36,BAHRAIN,KOCHI,15984,14512,12.2,277.1
Indian Territory,37,BAHRAIN,KOZHIKODE,9696,10488,0.4,135.1
Indian Territory,38,BAHRAIN,MANGALORE,2265,2421,0.0,0.0
Indian Territory,39,BAHRAIN,MUMBAI,32898,31301,32.4,919.4
Indian Territory,40,BAHRAIN,TRIVANDRUM,10490,9157,15.6,141.4
Indian Territory,41,BANGKOK,AHMEDABAD,2874,3255,0.7,9.4
Indian Territory,42,BANGKOK,AMRITSAR,0,0,0.0,0.0
Indian Territory,43,BANGKOK,BENGALURU,23155,23206,1092.0,1240.4
Indian Territory,44,BANGKOK,BHUBANESWAR,589,848,0.0,0.0
Indian Territory,45,BANGKOK,CHANDIGARH,895,1466,0.0,0.0
Indian Territory,46,BANGKOK,CHENNAI,18572,19921,1062.5,1430.6
Indian Territory,47,BANGKOK,DELHI,127926,128611,3767.8,1092.7
Indian Territory,48,BANGKOK,GAYA,9349,0,0.0,0.0
Indian Territory,49,BANGKOK,HYDERABAD,16599,16463,878.5,594.6
Indian Territory,50,BANGKOK,JAIPUR,6373,6154,0.0,0.0
Indian Territory,51,BANGKOK,KOLKATA,73148,67925,790.5,1558.1
Indian Territory,52,BANGKOK,LUCKNOW,4938,4356,0.0,0.0
Indian Territory,53,BANGKOK,MUMBAI,105601,104443,3703.3,2010.7
Indian Territory,54,BANGKOK,VARANASI,0,7741,0.0,0.0
Indian Territory,55,BASRA,DELHI,6862,6703,0.0,0.0
Indian Territory,56,BIRMINGHAM,AMRITSAR,6944,6138,0.2,0.0
Indian Territory,57,BIRMINGHAM,DELHI,14459,11788,323.5,529.4
Indian Territory,58,BISHKEK,DELHI,4651,4870,4.8,39.0
Indian Territory,59,BRUSELLS,DELHI,0,0,0.0,0.0
Indian Territory,60,BRUSELLS,MUMBAI,15153,10895,710.8,1084.6
Indian Territory,61,CAIRO,MUMBAI,5630,5988,71.0,218.4
Indian Territory,62,CHICAGO,DELHI,24177,20019,722.0,579.8
Indian Territory,63,CHICAGO,HYDERABAD,4537,2737,49.8,0.0
Indian Territory,64,CHITTAGONG,KOLKATA,21504,18872,0.0,1.0
Indian Territory,65,COLOGNE,DELHI,0,0,0.0,0.0
Indian Territory,66,COLOGNE,MUMBAI,0,0,0.0,1075.1
Indian Territory,67,COLOMBO,BENGALURU,35307,33215,1022.0,1065.4
Indian Territory,68,COLOMBO,CHENNAI,94537,98748,1857.4,2775.8
Indian Territory,69,COLOMBO,COIMBATORE,5558,5578,1.3,72.6
Indian Territory,70,COLOMBO,DELHI,33428,38137,528.6,365.8
Indian Territory,71,COLOMBO,HYDERABAD,13301,11811,15.2,55.4
Indian Territory,72,COLOMBO,KOCHI,29408,31103,44.3,172.5
Indian Territory,73,COLOMBO,KOLKATA,6268,5994,24.2,103.6
Indian Territory,74,COLOMBO,MADURAI,17806,19190,0.5,7.2
