TABLE 2. AIRLINEWISE MONTHLY INTERNATIONAL TRAFFIC (SCHEDULED) STATISTICS FOR THE QUARTER JUL-SEP 2017 (P),,,,,,,,,,,,,,,
(PASSENGERS IN NUMBER AND FREIGHT IN TONNES),,,,,,,,,,,,,,,
SL.No.,NAME OF THE AIRLINE,JULY,,,,AUGUST,,,,SEPTEMBER,,,,,
,,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA,,
DOMESTIC CARRIERS,,,,,,,,,,,,,,,
43,IRAN AIR,483,569,3.0,3.3,666,655,3.4,2.8,782,935,10.7,6.7,,
44,IRAQI AIRWAYS,1906,1813,0.0,0.0,1939,1909,0.0,0.0,1905,1944,0.0,0.0,,
45,ISLAND AVIATION SERVICES,4460,4397,0.5,58.4,3905,3956,5.4,71.9,3380,4054,8.7,78.9,,
46,JAPAN AIRLINES,3932,3617,396.0,198.6,3604,3981,396.0,198.6,3595,3987,421.3,200.2,,
47,KALITTA AIR,0,0,1423.1,1220.4,0,0,1618.1,1286.6,0,0,1523.9,1297.8,,
48,KAM AIR,4204,3386,0.0,156.8,3678,3411,0.0,60.0,3692,3083,0.0,57.2,,
49,KENYA AIRWAYS,7804,7771,4.5,13.0,7522,7933,9.6,14.0,7029,7631,6.2,14.0,,
50,KLM AIRLINES,8788,8644,287.1,489.3,8471,8925,309.7,490.3,8198,8357,303.4,483.5,,
51,KOREAN AIR,6497,5354,205.8,161.8,5531,6221,255.4,209.1,5902,5508,254.2,171.0,,
52,KUWAIT AIRWAYS,31446,28740,494.6,1838.0,36505,37973,413.8,1964.0,30664,40535,462.5,2067.0,,
53,LUFTHANSA,64341,55890,3813.3,3627.5,52192,63466,3904.7,3502.4,51772,50971,3651.0,3616.5,,
54,MAHAN AIR,1352,1281,9.5,84.6,1388,1580,10.8,121.3,1783,2418,4.8,80.5,,
55,MALAYSIA AIRLINES,33455,34565,1127.7,976.9,22767,23079,1177.1,982.1,29854,34031,1010.5,798.2,,
56,MALINDO AIRWAYS,26500,30096,54.1,44.7,26434,27435,54.2,77.5,24267,31479,63.3,74.2,,
57,MYANMAR AIRLINES,0,0,0.0,0.0,383,443,0.0,9.9,391,369,1.5,10.6,,
58,NEPAL AIRLINES CORPORATION,4257,4012,0.0,7.5,4582,4912,0.0,11.4,4294,5232,0.0,41.2,,
59,NOVO AIR,1253,1838,0.0,0.0,1308,1723,0.0,0.0,1685,1752,0.0,0.0,,
60,OMAN AIR,92615,76873,117.0,1261.7,74643,82990,123.7,1338.5,59889,94784,83.9,1058.6,,
61,PAK INTERNATIONAL,96,176,0.0,0.5,100,238,0.1,0.5,179,146,0.0,0.1,,
62,QATAR AIRWAYS,96608,76226,5697.8,9850.0,83429,88046,5844.8,8785.0,65049,89041,5049.9,8807.6,,
63,REGENT AIRWAYS,3779,4520,0.0,4.6,7978,8654,0.0,26.6,9283,9307,0.0,23.3,,
64,ROSSIYA AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
65,RWANDA AIR,1305,1521,0.0,0.0,1084,1403,0.0,0.0,1218,1344,0.0,0.0,,
66,SAFI AIRWAYS,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
67,SAUDIA,62942,43071,173.2,2666.6,51583,67976,198.0,2628.0,42751,64289,174.8,2520.1,,
68,SCAT AIRLINES,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
69,SCOOT PTE LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
70,SHANDONG AIRLINES,1881,1059,0.0,0.0,879,1665,0.0,0.0,906,1413,0.0,0.0,,
71,SILK AIR,21287,22920,95.7,263.5,19203,23421,116.7,260.3,19001,23891,99.6,240.6,,
72,SINGAPORE AIRLINES,44079,48242,3051.9,3084.6,40121,46582,2815.6,2879.4,47938,52034,3010.3,3242.6,,
73,SRILANKAN AIRWAYS,73688,77799,1071.5,1735.8,90470,81278,1009.6,1748.1,68172,87823,985.8,2067.2,,
74,SWISS AIR,13439,12451,799.2,1187.2,9939,12725,710.5,900.5,9879,11671,817.2,1042.7,,
75,TAJIK AIR,502,310,0.0,6.0,472,654,0.0,16.0,312,807,0.0,16.0,,
76,THAI AIR ASIA,15922,15092,130.3,113.8,14941,15013,119.0,118.6,14513,14830,129.6,135.8,,
77,THAI AIRWAYS,59815,56735,2277.4,1771.7,53035,55995,2675.0,2101.1,49564,54482,2814.1,2180.6,,
78,THAI SMILE AIRWAYS,4535,3864,0.0,0.0,3752,3766,0.0,0.0,3314,3366,0.0,0.0,,
79,TIGER AIRWAYS,24841,23334,36.8,149.0,35736,30764,305.6,348.9,29885,32755,402.5,566.3,,
80,TURKISH AIRLINES,22427,20306,963.5,1315.1,19521,20195,946.3,1422.7,18301,19146,1003.1,1468.0,,
81,TURKMENISTAN AIRLINES,2705,4515,0.0,1.7,4535,3063,4.9,1.6,2654,3005,0.0,48.1,,
82,UNITED AIRLINES,14136,14813,113.6,400.9,12683,15477,154.2,358.7,13256,13427,179.4,380.5,,
83,UNITED AIRLINES BANGLADESH LTD.,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,,
84,UNITED PARCEL SERVICES,0,0,353.4,420.1,0,0,408.1,584.0,0,0,580.5,441.9,,
85,US BANGLA AIRLINES,5503,5525,0.0,0.0,5461,5140,0.0,0.0,5244,5058,0.0,0.0,,
86,UZBEKISTAN AIRWAYS,5491,3689,253.4,379.1,4141,4848,291.0,396.4,3858,4595,419.0,516.8,,
87,VIRGIN ATLANTIC AIRLINES,7911,5403,276.4,558.3,6325,7426,294.3,566.5,6090,7059,296.9,495.0,,
88,YEMENIA AIRWAYS,584,587,0.0,0.5,588,588,0.0,0.7,893,858,0.0,2.0,,
TOTAL (FOREIGN CARRIERS),,1569760,1388750,42616.5,65832.6,1422231,1557832,46242.6,66431.6,1289898,1610419,50662.4,68496.9,,
TOTAL (DOMESTIC & FOREIGN CARRIERS),,2613821,2289433,52759.0,84099.7,2393688,2580899,56270.4,85197.7,2094041,2643389,60849.0,86145.8,,
Note: 1. This table does not include the passengers and freight carried by domestic carriers entirely outside the Indian territory.,,,,,,,,,,,,,,,
P-Provisional,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
