Category,SL.No.,NAME OF THE AIRLINE,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
DOMESTIC CARRIERS,1,AIR INDIA,732189,790321,13048.6,18780.9
DOMESTIC CARRIERS,2,AIR INDIA EXPRESS,405131,477456,288.0*,2393.2*
DOMESTIC CARRIERS,3,INDIGO,274404,287496,378.0,3285.0
DOMESTIC CARRIERS,4,JET AIRWAYS,986139,1078572,17126.8,24660.2
DOMESTIC CARRIERS,5,SPICEJET,212884,223537,311.4,1318.4
DOMESTIC CARRIERS,6,TOTAL (DOMESTIC CARRIERS),2610747,2857382,31152.7,50437.8
FOREIGN CARRIERS,1,AEROFLOT,32204,39610,37.2,1098.3
FOREIGN CARRIERS,2,AEROLOGIC,0,0,10.3,11.8
FOREIGN CARRIERS,3,AIR ARABIA,206397,223659,402.3,3207.1
FOREIGN CARRIERS,4,AIR ASIA BERHAD,93461,95246,260.6,996.1
FOREIGN CARRIERS,5,AIR ASIA X,15941,16507,536.9,630.0
FOREIGN CARRIERS,6,AIR ASTANA,10165,11904,5.5,177.0
FOREIGN CARRIERS,7,AIR AUSTRAL,1695,2104,0.5,18.1
FOREIGN CARRIERS,8,AIR CANADA,28299,29458,265.0,637.5
FOREIGN CARRIERS,9,AIR CHINA,15116,15332,381.6,381.5
FOREIGN CARRIERS,10,AIR FRANCE,67497,73342,3528.3,3379.0
FOREIGN CARRIERS,11,AIR MANAS,3206,3900,3.2,56.1
FOREIGN CARRIERS,12,AIR MAURITIUS,23928,24864,72.2,654.4
FOREIGN CARRIERS,13,AIR SEYCHELLES,7740,7842,1.3,18.6
FOREIGN CARRIERS,14,ALL NIPPON AIRWAYS,20945,25624,1421.5,1263.9
FOREIGN CARRIERS,15,ARIANA AFGHAN,7310,6765,124.9,215.5
FOREIGN CARRIERS,16,ASIANA AIRLINES,17604,19160,323.5,189.6
FOREIGN CARRIERS,17,AUSTRIAN AIRLINES,0,0,0.0,0.0
FOREIGN CARRIERS,18,BANGKOK AIRWAYS,11239,11451,82.3,33.7
